Serving HTTP on 0.0.0.0 port 8000 (http://0.0.0.0:8000/) ...
127.0.0.1 - - [01/Oct/2025 12:24:54] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2025 12:24:55] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2025 12:24:55] "GET /anusha%20bon.jpg HTTP/1.1" 304 -
127.0.0.1 - - [01/Oct/2025 12:29:57] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2025 12:30:02] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2025 12:30:15] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2025 12:30:15] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2025 12:30:15] "GET /anusha%20bon.jpg HTTP/1.1" 200 -
127.0.0.1 - - [01/Oct/2025 12:30:18] code 404, message File not found
127.0.0.1 - - [01/Oct/2025 12:30:18] "GET /favicon.ico HTTP/1.1" 404 -
